Date| Title| Encabezado | SecLabel 
02/05/2017|abril de luto 29 victimas fatales en rutas y calles de la provincia|abril de luto 29 victimas fatales en rutas y calles de la provincia|sucesos
02/05/2017|la oposicion llamo la rebelion contra constituyente de maduro|la oposicion llamo la rebelion contra constituyente de maduro|mundo
02/05/2017|postales desde el norte sin hipocresia|postales desde el norte sin hipocresia|opinion
02/05/2017|otro 1deg de mayo con las calles tomadas|otro 1deg de mayo con las calles tomadas|mundo
02/05/2017|el miedo de uno de los testigos del caso del violador serial|el miedo de uno de los testigos del caso del violador serial|sucesos
02/05/2017|saillen criticas al pro y ostentacion de fuerza|saillen criticas al pro y ostentacion de fuerza|politica
02/05/2017|son empleados municipales pero con diploma de la unc|son empleados municipales pero con diploma de la unc|ciudadanos
02/05/2017|tras un mes las andanzas de pocholito llegaron su fin|tras un mes las andanzas de pocholito llegaron su fin|sucesos
02/05/2017|la ruptura oficialista patea el tablero chileno|la ruptura oficialista patea el tablero chileno|mundo
02/05/2017|massa y stolbizer juntan firmas para eliminar el iva 11 alimentos|massa y stolbizer juntan firmas para eliminar el iva 11 alimentos|politica
02/05/2017|victor costamagna schiaretti esta mal asesorado con los anestesiologos|victor costamagna schiaretti esta mal asesorado con los anestesiologos|ciudadanos
02/05/2017|el cambio climatico y los vinedos|el cambio climatico y los vinedos|ciudadanos
02/05/2017|un prontuario complicado|un prontuario complicado|sucesos
02/05/2017|superar la barbarie|superar la barbarie|opinion
02/05/2017|salud alerta sobre el riesgo de que el sarampion se reintroduzca en argentina|salud alerta sobre el riesgo de que el sarampion se reintroduzca en argentina|ciudadanos
02/05/2017|denuncia que un policia lo golpeo|denuncia que un policia lo golpeo|sucesos
02/05/2017|amplian la imputacion contra castanares|amplian la imputacion contra castanares|sucesos
02/05/2017|cronica silenciosa de un transito salvaje|cronica silenciosa de un transito salvaje|sucesos
02/05/2017|los envios de la nacion pierden contra la inflacion|los envios de la nacion pierden contra la inflacion|politica
02/05/2017|hace 100 anos cumpleanos de la escuela presidente roca|hace 100 anos cumpleanos de la escuela presidente roca|ciudadanos
02/05/2017|alejandra vigo seria un honor ser candidata del peronismo|alejandra vigo seria un honor ser candidata del peronismo|politica
02/05/2017|y vos en que calle vivis|y vos en que calle vivis|ciudadanos
02/05/2017|murio un hombre en un boliche y la fiesta electronica continuo|murio un hombre en un boliche y la fiesta electronica continuo|ciudadanos
02/05/2017|gasto promedio 720 por dia|gasto promedio 720 por dia|ciudadanos
